Judge,For/Against,State / District,Appointed by,Notable ruling
<b>Yvonne Rogers</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.454686/gov.uscourts.cand.454686.22.0.pdf"" target=""_blank"">🔗</a>"
<b>Andrew Hanen</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2039598/gov.uscourts.txsd.2039598.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Anthony Trenga</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VAED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vaed.581091/gov.uscourts.vaed.581091.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Cecilia Altonaga</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLSD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flsd.698405/gov.uscourts.flsd.698405.7.0_1.pdf"" target=""_blank"">🔗</a>"
<b>Clay Land</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",GAMD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.gamd.139066/gov.uscourts.gamd.139066.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Cynthia Rufe</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.645907/gov.uscourts.paed.645907.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Dana Sabraw</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CASD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.825715/gov.uscourts.casd.825715.7.0.pdf"" target=""_blank"">🔗</a>"
<b>David Bunning</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",KYED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.kyed.110149/gov.uscourts.kyed.110149.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Dennis Saylor IV</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mad.289728/gov.uscourts.mad.289728.12.0.pdf"" target=""_blank"">🔗</a>"
<b>G. Murray Snow</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",AZ,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.azd.1467708/gov.uscourts.azd.1467708.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Gary Klausner</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.983894/gov.uscourts.cacd.983894.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Henry Hudson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VAED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vaed.582137/gov.uscourts.vaed.582137.12.0.pdf"" target=""_blank"">🔗</a>"
<b>James Browning</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",NM,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nmd.538385/gov.uscourts.nmd.538385.22.0.pdf"" target=""_blank"">🔗</a>"
<b>James Kinkeade</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXND,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txnd.410790/gov.uscourts.txnd.410790.9.0_5.pdf"" target=""_blank"">🔗</a>"
<b>Janis Sammartino</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CASD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.834194/gov.uscourts.casd.834194.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Joe Heaton</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OKWD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.okwd.133505/gov.uscourts.okwd.133505.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Joel Slomsky</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.644690/gov.uscourts.paed.644690.12.0.pdf"" target=""_blank"">🔗</a>"
<b>John Walter</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.992387/gov.uscourts.cacd.992387.11.0.pdf"" target=""_blank"">🔗</a>"
<b>John Woodcock</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ME,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.med.69415/gov.uscourts.med.69415.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Joseph LaPlante</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NH,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nhd.66295/gov.uscourts.nhd.66295.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Juan Sanchez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.645131/gov.uscourts.paed.645131.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Lisa Wood</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",GASD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.gasd.115795/gov.uscourts.gasd.115795.84.0.pdf"" target=""_blank"">🔗</a>"
<b>Marcia Howard</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLMD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flmd.449991/gov.uscourts.flmd.449991.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Micaela Alvarez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txwd.1172872483/gov.uscourts.txwd.1172872483.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Otis Wright II</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.978912/gov.uscourts.cacd.978912.10.0.pdf"" target=""_blank"">🔗</a>"
<b>P. Kevin Castel</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.652856/gov.uscourts.nysd.652856.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Patrick Schiltz</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""http://storage.courtlistener.com/recap/gov.uscourts.mnd.228993/gov.uscourts.mnd.228993.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Paul Diamond</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.643989/gov.uscourts.paed.643989.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Paul Maloney</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MIWD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.miwd.116920/gov.uscourts.miwd.116920.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Percy Anderson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.997902/gov.uscourts.cacd.997902.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Philip Brimmer</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CO,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cod.250003/gov.uscourts.cod.250003.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Renee Bumb</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.585881/gov.uscourts.njd.585881.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Ricardo Martinez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WAWD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wawd.354996/gov.uscourts.wawd.354996.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Richard Jones</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WAWD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wawd.355669/gov.uscourts.wawd.355669.22.0.pdf"" target=""_blank"">🔗</a>"
<b>Robert Jonker</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MIWD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.miwd.117425/gov.uscourts.miwd.117425.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Sara Lioi</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OHND,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ohnd.321269/gov.uscourts.ohnd.321269.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Susan Wigenton</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.582696/gov.uscourts.njd.582696.21.0.pdf"" target=""_blank"">🔗</a>"
<b>Thomas Johnston</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WVSD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wvsd.242890/gov.uscourts.wvsd.242890.25.0.pdf"" target=""_blank"">🔗</a>"
<b>Thomas Ludington</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MIED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mied.388290/gov.uscourts.mied.388290.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Thomas Schroeder</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NCMD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ncmd.102994/gov.uscourts.ncmd.102994.19.0.pdf"" target=""_blank"">🔗</a>"
<b>Timothy DeGiusti</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OKWD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.okwd.132942/gov.uscourts.okwd.132942.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Timothy Savage</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.646012/gov.uscourts.paed.646012.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Virginia Kendall</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.489182/gov.uscourts.ilnd.489182.11.0.pdf"" target=""_blank"">🔗</a>"
<b>William Griesbach</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",WIED,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wied.114205/gov.uscourts.wied.114205.12.0.pdf"" target=""_blank"">🔗</a>"
<b>William Johnson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NM,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wvsd.242890/gov.uscourts.wvsd.242890.25.0.pdf"" target=""_blank"">🔗</a>"
<b>Xavier Rodriguez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXWD,"<span style=""color:#f05d45;"">George W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txwd.1172872789/gov.uscourts.txwd.1172872789.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Ann Aiken</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OR,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ord.190038/gov.uscourts.ord.190038.26.0.pdf"" target=""_blank"">🔗</a>"
<b>Barry Moskowitz</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CASD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.832457/gov.uscourts.casd.832457.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Christina Snyder</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.985612/gov.uscourts.cacd.985612.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Dan Polster</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OHND,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ohnd.323083/gov.uscourts.ohnd.323083.5.0.pdf"" target=""_blank"">🔗</a>"
<b>David Carter</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.990877/gov.uscourts.cacd.990877.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Denise Cote</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.656556/gov.uscourts.nysd.656556.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Donald Middlebrooks</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLSD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flsd.700975/gov.uscourts.flsd.700975.28.0.pdf"" target=""_blank"">🔗</a>"
<b>Donovan Frank</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.230504/gov.uscourts.mnd.230504.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Elaine Bucklo</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.489073/gov.uscourts.ilnd.489073.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Fred Biery</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXWD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txwd.1172871638/gov.uscourts.txwd.1172871638.11.0.pdf"" target=""_blank"">🔗</a>"
<b>George Daniels</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.654764/gov.uscourts.nysd.654764.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Gregory Presnell</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLMD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flmd.452938/gov.uscourts.flmd.452938.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Joan Gottschall</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.489355/gov.uscourts.ilnd.489355.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Joan Lefkow</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.488765/gov.uscourts.ilnd.488765.31.0.pdf"" target=""_blank"">🔗</a>"
<b>Joanna Seybert</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.540413/gov.uscourts.nyed.540413.18.0.pdf"" target=""_blank"">🔗</a>"
<b>John Koeltl</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.648849/gov.uscourts.nysd.648849.17.0.pdf"" target=""_blank"">🔗</a>"
<b>John Steele</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLMD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flmd.449586/gov.uscourts.flmd.449586.11.0.pdf"" target=""_blank"">🔗</a>"
<b>John Tunheim</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.227931/gov.uscourts.mnd.227931.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Joseph Bataillon</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NE,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ned.109896/gov.uscourts.ned.109896.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Katharine Hayden</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.581557/gov.uscourts.njd.581557.31.0.pdf"" target=""_blank"">🔗</a>"
<b>Keith Ellison</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2058251/gov.uscourts.txsd.2058251.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Leonie Brinkema</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VAED,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vaed.580585/gov.uscourts.vaed.580585.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Lewis Kaplan</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.647311/gov.uscourts.nysd.647311.28.0.pdf"" target=""_blank"">🔗</a>"
<b>Lynn Adelman</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WIED,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wied.113798/gov.uscourts.wied.113798.18.0.pdf"" target=""_blank"">🔗</a>"
<b>Lynn Winmill</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ID,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.idd.58225/gov.uscourts.idd.58225.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Matthew Kennelly</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.479278/gov.uscourts.ilnd.479278.44.0.pdf"" target=""_blank"">🔗</a>"
<b>Michael Davis</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.229660/gov.uscourts.mnd.229660.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Orlando Garcia</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXWD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txwd.1172866934/gov.uscourts.txwd.1172866934.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Patricia Gaughan</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OHND,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ohnd.324074/gov.uscourts.ohnd.324074.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Patti Saris</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mad.289225/gov.uscourts.mad.289225.54.0.pdf"" target=""_blank"">🔗</a>"
<b>Rebecca Pallmeyer</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.488674/gov.uscourts.ilnd.488674.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Richard Stearns</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://www.courtlistener.com/docket/71313406/pereira-de-souza-v-hyde/#entry-13"" target=""_blank"">🔗</a>"
<b>Richard Young</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",INSD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.insd.226538/gov.uscourts.insd.226538.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Robert Chambers</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WVSD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wvsd.242911/gov.uscourts.wvsd.242911.21.0.pdf"" target=""_blank"">🔗</a>"
<b>Robert Gettleman</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.488520/gov.uscourts.ilnd.488520.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Tena Campbell</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",UT,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.utd.161479/gov.uscourts.utd.161479.11.0.pdf"" target=""_blank"">🔗</a>"
<b>W. Louis Sands</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",GAMD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.gamd.139819/gov.uscourts.gamd.139819.7.0.pdf"" target=""_blank"">🔗</a>"
<b>William Dimitrouleas</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLSD,"<span style=""color:#3a71b7;"">Bill Clinton</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flsd.701283/gov.uscourts.flsd.701283.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Anita Brody</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">George H. W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.645066/gov.uscourts.paed.645066.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Harvey Bartle III</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">George H. W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.646223/gov.uscourts.paed.646223.9.0.pdf"" target=""_blank"">🔗</a>"
<b>John Padova</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">George H. W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.646730/gov.uscourts.paed.646730.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Lee Rosenthal</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#f05d45;"">George H. W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2022995/gov.uscourts.txsd.2022995.18.0.pdf"" target=""_blank"">🔗</a>"
<b>Nancy Edmunds</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MIED,"<span style=""color:#f05d45;"">George H. W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mied.389158/gov.uscourts.mied.389158.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Nathaniel Gorton</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#f05d45;"">George H. W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mad.289489/gov.uscourts.mad.289489.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Paul Barbadoro</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NH,"<span style=""color:#f05d45;"">George H. W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nhd.67018/gov.uscourts.nhd.67018.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Walter Shubb</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",CAED,"<span style=""color:#f05d45;"">George H. W. Bush</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.caed.474682/gov.uscourts.caed.474682.14.0.pdf"" target=""_blank"">🔗</a>"
<b>David Doty</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#f05d45;"">Ronald Reagan</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.230438/gov.uscourts.mnd.230438.7.0.pdf"" target=""_blank"">🔗</a>"
<b>David Ezra</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXWD,"<span style=""color:#f05d45;"">Ronald Reagan</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txwd.1172870987/gov.uscourts.txwd.1172870987.7.0.pdf"" target=""_blank"">🔗</a>"
